size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below
142000	143000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
143000	144000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
144000	145000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
145000	146000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
146000	147000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
147000	148000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	0
148000	149000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
149000	150000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
150000	151000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
151000	152000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
152000	153000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
153000	154000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
154000	155000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
155000	156000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
156000	157000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
157000	158000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
158000	159000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
159000	160000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
160000	161000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	0
161000	162000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
162000	163000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	0
163000	164000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
164000	165000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
165000	166000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
166000	167000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
167000	168000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
168000	169000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
169000	170000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
170000	171000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
171000	172000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
172000	173000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
173000	174000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
174000	175000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
175000	176000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
176000	177000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
177000	178000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
178000	179000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
179000	180000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
180000	181000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
181000	182000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
182000	183000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
183000	184000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
184000	185000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
185000	186000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
186000	187000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
187000	188000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
188000	189000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
189000	190000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
190000	191000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
